Accession No.	Order	Family	Subfamily	Genus
MH744415.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH884509.1	Caudovirales	Myoviridae	unassigned	unassigned
MG099950.1	Caudovirales	Siphoviridae	unassigned	Laroyevirus
MH976507.1	Caudovirales	Siphoviridae	unassigned	Vividuovirus
MH834617.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MK721189.1	Caudovirales	Siphoviridae	unassigned	Saphexavirus
MK359343.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MG711463.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF476925.1	Caudovirales	Siphoviridae	unassigned	unassigned
KU977419.1	Caudovirales	Podoviridae	Sepvirinae	Traversvirus
MH371120.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
KY971609.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH744420.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF140432.1	Caudovirales	Siphoviridae	unassigned	Gordonvirus
MF959998.1	Caudovirales	Siphoviridae	unassigned	unassigned
KY250482.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH817999.1	Caudovirales	Siphoviridae	unassigned	unassigned
FM864213.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH825707.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MK112556.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH651187.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MK002701.1	Caudovirales	Myoviridae	unassigned	Myohalovirus
MH791415.1	Caudovirales	Siphoviridae	unassigned	Saphexavirus
MK721194.1	Caudovirales	Siphoviridae	unassigned	Saphexavirus
MH651183.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
NC_004813.1	Caudovirales	Siphoviridae	unassigned	unassigned
AJ556162.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH976518.1	Caudovirales	Siphoviridae	unassigned	Vividuovirus
KX607101.1	unassigned	Bicaudaviridae	unassigned	Bicaudavirus
MH976508.1	Caudovirales	Siphoviridae	unassigned	Vividuovirus
MG592575.1	Caudovirales	Podoviridae	unassigned	unassigned
MH727548.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH450120.1	Caudovirales	Siphoviridae	unassigned	Mudcatvirus
KX898400.1	Caudovirales	Siphoviridae	unassigned	Nipunavirus
MH450115.1	Caudovirales	Siphoviridae	unassigned	Gordonvirus
MH618488.1	Caudovirales	Siphoviridae	unassigned	Saphexavirus
MH077578.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MF668281.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH077585.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MH020235.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MG962361.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MK494120.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
KY348865.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
KT336321.1	Caudovirales	Siphoviridae	unassigned	unassigned
KU204984.2	Caudovirales	Siphoviridae	unassigned	Pamexvirus
MH651168.1	Caudovirales	Siphoviridae	unassigned	Vividuovirus
MH669012.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
MN096370.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF417867.1	Caudovirales	unassigned	unassigned	unassigned
MF919502.1	Caudovirales	Siphoviridae	unassigned	Cheoctovirus
KY472224.1	Caudovirales	Siphoviridae	unassigned	Saphexavirus
MK416022.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF189171.1	Caudovirales	Siphoviridae	unassigned	Mudcatvirus
FN436269.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF975638.1	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
KU189325.1	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
MH178381.1	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
MH178382.1	Caudovirales	Siphoviridae	unassigned	Woodruffvirus
MK524177.1	Caudovirales	Siphoviridae	unassigned	unassigned
