Accession No.	Order	Family	Subfamily	Genus
AP018479.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KX228399.1	Caudovirales	Myoviridae	unassigned	Lubbockvirus
MH230879.1	Caudovirales	Siphoviridae	unassigned	Tortellinivirus
MK977707.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK075004.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH491968.1	Caudovirales	Siphoviridae	Tunavirinae	Tlsvirus
MK798142.1	Caudovirales	Myoviridae	unassigned	unassigned
MG592425.1	Caudovirales	Myoviridae	unassigned	unassigned
MK291442.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK069556.2	Caudovirales	Siphoviridae	unassigned	unassigned
MK967393.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK359354.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
AY328852.1	Caudovirales	Myoviridae	unassigned	unassigned
MG711462.1	Caudovirales	Myoviridae	unassigned	unassigned
MG592422.1	Caudovirales	Myoviridae	unassigned	unassigned
MG592590.1	Caudovirales	Myoviridae	unassigned	unassigned
KY213952.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
